Person.id|Comment.id|creationDate
2199023256077|1030792151057|1342787061582
2199023256077|1030792151060|1342831024052
10995116278291|1030792151060|1343137572715
24189255811254|1030792151060|1343039946139
2199023256437|206158430631|1283425370362
8796093022467|481036337631|1302813069508
4398046512201|618475291131|1311204282251
19791209300608|549755814421|1312971547150
19791209300787|549755814421|1316873947343
19791209301454|549755814421|1311906879270
24189255812580|549755814421|1322358215994
26388279066664|549755814421|1328702710836
26388279067534|549755814421|1326837723324
26388279067066|962072675848|1340562955499
10995116279452|1030792152613|1344163162017
13194139534853|1030792152613|1344149318036
15393162789417|1030792152613|1344310739221
17592186044425|1030792152613|1344548822825
17592186044519|1030792152613|1344228488394
17592186045165|1030792152613|1344238998855
17592186045408|1030792152613|1344139809779
17592186045551|1030792152613|1344184215273
17592186045604|1030792152613|1344134927185
21990232556252|1030792152613|1344222747150
24189255812446|1030792152613|1344407645066
24189255812669|1030792152613|1344152830019
13194139533344|1030792152634|1344264613649
15393162789093|1030792152634|1344162038985
15393162789174|1030792152634|1344124735676
15393162790014|1030792152634|1344599605899
17592186044897|1030792152634|1344492542182
17592186045382|1030792152634|1344225437912
17592186046110|1030792152634|1344360134351
21990232556410|1030792152634|1344292943746
24189255812426|1030792152634|1344619084077
21990232556410|1030792152642|1344419828727
609|1030792152653|1344287104961
998|1030792152653|1344172591071
1269|1030792152653|1344335019701
2199023256744|1030792152653|1344108655332
13194139533344|1030792152653|1344340433637
15393162789093|1030792152653|1344159556902
15393162789174|1030792152653|1344206535614
15393162790014|1030792152653|1344280591594
17592186044897|1030792152653|1344148024467
17592186045382|1030792152653|1344164877757
17592186046110|1030792152653|1344159522596
21990232556410|1030792152653|1344132199560
24189255812426|1030792152653|1344103119692
24189255812580|1030792152653|1344247306972
24189255812733|1030792152653|1344280694825
32985348834375|1030792152653|1344175803109
15393162790014|1030792152660|1344188180562
998|1030792152662|1344180289413
609|1030792152676|1344538409561
998|1030792152676|1344384959195
1269|1030792152676|1344316746937
2199023256744|1030792152676|1344139359872
13194139533344|1030792152676|1344356161888
15393162789093|1030792152676|1344225013736
15393162789174|1030792152676|1344152845267
15393162790014|1030792152676|1344383009506
17592186044897|1030792152676|1344618486465
17592186045382|1030792152676|1344233869002
17592186046110|1030792152676|1344638867932
21990232556410|1030792152676|1344449654988
24189255812426|1030792152676|1344406852598
24189255812580|1030792152676|1344461066564
24189255812733|1030792152676|1344237187345
32985348834375|1030792152676|1344188077350
976|412316862204|1298439309798
1269|412316862204|1298846673410
6597069767242|412316862204|1298529175263
10995116278234|412316862204|1298801699395
10995116278353|412316862204|1298360944071
13194139533535|412316862204|1298515487394
13194139533653|412316862204|1298654361476
15393162789604|412316862204|1304181952193
17592186044551|412316862204|1308488136963
17592186045074|412316862204|1308386274373
17592186045865|412316862204|1307319189119
19791209300771|412316862204|1313729101373
21990232555611|412316862204|1321154168805
21990232556528|412316862204|1319147434546
21990232556650|412316862204|1321201831048
30786325578932|412316862204|1340127231015
30786325579247|412316862204|1339418056409
32985348833378|412316862204|1346808387558
32985348833438|412316862204|1343383284205
976|618475292469|1311817126161
1269|618475292469|1311985935122
6597069767242|618475292469|1312127247650
10995116278234|618475292469|1312102026066
10995116278353|618475292469|1311969558497
13194139533535|618475292469|1311868802140
13194139533653|618475292469|1311757936535
15393162789604|618475292469|1311944362883
17592186044551|618475292469|1311896534910
17592186045074|618475292469|1311965807093
17592186045865|618475292469|1311743670851
19791209300771|618475292469|1314066877816
21990232555611|618475292469|1321182947334
21990232556528|618475292469|1318951625856
21990232556650|618475292469|1321247029984
30786325578932|618475292469|1340360722907
30786325579247|618475292469|1339262928945
32985348833378|618475292469|1346939167213
32985348833438|618475292469|1343434197072
976|549755815755|1308507596189
1269|549755815755|1308530340631
6597069767242|549755815755|1308921745971
10995116278234|549755815755|1308722588270
10995116278353|549755815755|1308564684127
13194139533535|549755815755|1308545129463
13194139533653|549755815755|1308664948399
15393162789604|549755815755|1308522904337
17592186044551|549755815755|1308552763288
17592186045074|549755815755|1308601392980
17592186045865|549755815755|1308577965330
19791209300771|549755815755|1314066143951
21990232555611|549755815755|1321320318496
21990232556528|549755815755|1318967040575
21990232556650|549755815755|1321452806677
30786325578932|549755815755|1339957063550
30786325579247|549755815755|1339542147784
32985348833378|549755815755|1346849178034
32985348833438|549755815755|1343554313097
32985348833378|618475292522|1346779585787
976|274877908929|1286378242054
1269|274877908929|1286257857482
6597069767242|274877908929|1286493873354
10995116278234|274877908929|1291747264244
10995116278353|274877908929|1292840653539
13194139533535|274877908929|1296879318972
13194139533653|274877908929|1297114617632
15393162789604|274877908929|1304006972980
17592186044551|274877908929|1308293258901
17592186045074|274877908929|1308488527449
17592186045865|274877908929|1307314801373
19791209300771|274877908929|1313935117176
21990232555611|274877908929|1321159811504
21990232556528|274877908929|1318970986603
21990232556650|274877908929|1321190226013
30786325578932|274877908929|1340190479026
30786325579247|274877908929|1339489084967
32985348833378|274877908929|1346736580861
32985348833438|274877908929|1343414987081
13194139533653|68719478733|1297003806897
976|68719478756|1273332772870
2199023256668|343597385772|1290118260734
6597069768211|343597385772|1289816600831
8796093023017|343597385772|1289681408800
8796093023851|343597385772|1290113783025
15393162789093|343597385772|1305024044405
21990232555524|343597385772|1318527586915
30786325578056|343597385772|1341153473516
32985348833548|343597385772|1345978952274
32985348833995|343597385772|1346147700533
8796093023851|481036339257|1301063001166
32985348833995|755914246215|1346424670564
1131|481036339359|1301688138764
4398046512267|481036339360|1301648393919
6597069766846|481036339360|1301390132148
6597069766850|481036339360|1301791289943
6597069767067|481036339360|1301461987315
6597069767242|481036339360|1301401497443
6597069767572|481036339360|1301729268610
8796093023133|481036339360|1301396237779
8796093023897|481036339360|1301516818774
13194139534578|481036339360|1301520415136
13194139534853|481036339360|1301805122243
13194139534982|481036339360|1301558763779
15393162789787|481036339360|1304405124525
17592186045168|481036339360|1308430703408
19791209301454|824633723112|1326896912292
1131|549755816188|1307593545906
1050|343597386133|1291348928123
17592186045551|343597386141|1308825709128
19791209301454|343597386141|1313138353046
19791209301471|343597386141|1315361438836
8796093023897|343597386165|1291369614944
15393162789787|343597386174|1304538016859
17592186045168|343597386174|1308667038068
17592186045408|343597386174|1307862319705
17592186045551|343597386174|1308870457985
19791209301454|343597386174|1313478960235
19791209301471|343597386174|1315377371398
19791209301519|343597386174|1311792564934
19791209301554|343597386174|1313185374167
21990232555850|343597386174|1316960954065
21990232556497|343597386174|1317812933438
24189255811116|343597386174|1326153692243
24189255812295|343597386174|1325156435849
26388279067047|343597386174|1329171719772
26388279068113|343597386174|1331303295653
28587302322548|343597386174|1337720531616
28587302323193|343597386174|1336802850578
28587302323441|343597386174|1332274210063
28587302323855|343597386174|1335962428359
30786325578056|343597386174|1341486042586
30786325578932|343597386174|1339136953337
32985348833548|343597386174|1344357884148
32985348833673|343597386174|1342022154872
17592186044862|687194769971|1318746122644
318|687194769978|1319061954666
2199023255981|687194769978|1318726508370
2199023256077|687194769978|1318757285765
2199023256086|687194769978|1318755552301
2199023256530|687194769978|1318735100927
2199023257239|687194769978|1318784667367
6597069766733|687194769978|1318739127150
8796093023907|687194769978|1318808392323
10995116278353|687194769978|1318781348201
17592186044862|687194769978|1318777497644
21990232556771|687194769978|1321198817408
26388279067426|687194769978|1331750039798
26388279067669|687194769978|1329178623789
30786325578932|687194769978|1340496528589
30786325579091|687194769978|1338898464809
32985348834375|687194769978|1345030794269
32985348834682|687194769978|1343717388673
30786325579091|687194769996|1339053946534
318|687194770018|1319245044765
2199023255981|687194770018|1318931941561
2199023256077|687194770018|1319061972109
2199023256086|687194770018|1318806664092
2199023256530|687194770018|1318872062074
2199023257239|687194770018|1319177126795
6597069766733|687194770018|1318838484741
