Person.id|Post.id|creationDate
2199023256077|481036337193|1315847030756
24189255811254|755914244149|1333604105915
24189255811254|755914244152|1333671682711
2199023256077|481036337268|1301732052039
24189255811254|481036337268|1327097701541
24189255811254|481036337280|1327254871238
10995116278291|343597383821|1322614891847
10995116278291|343597383824|1323054664087
10995116278291|137438953630|1307343340885
2199023256077|206158430383|1293548561026
2199023256077|206158430395|1293843813708
10995116278291|206158430395|1302525306789
24189255811254|206158430395|1338556485055
10995116278291|481036337347|1312303196535
24189255811254|481036337347|1336474423282
2199023256077|687194767581|1333019046332
10995116278291|687194767581|1326053128164
2199023256077|687194767598|1325169735170
10995116278291|687194767598|1327075013558
24189255811254|687194767598|1332999409293
10995116278291|687194767599|1327019403012
2199023256077|687194767607|1325386658079
10995116278291|687194767607|1326774670539
24189255811254|687194767607|1332892126488
2199023256077|687194767608|1325092552822
10995116278291|687194767608|1327219289035
24189255811254|687194767608|1333069673065
10995116278291|206158430487|1320181390031
2199023256077|206158430488|1326653945529
10995116278291|206158430488|1319908958217
24189255811254|206158430488|1341057303136
2199023256077|755914244428|1327041396948
10995116278291|755914244428|1339727762096
24189255811254|755914244428|1340607000709
24189255811254|343597384018|1345788059709
24189255811254|343597384024|1345605011440
10995116278291|824633721185|1347415432455
24189255811254|824633721185|1331510942252
24189255811254|962072674668|1346534112871
24189255811254|962072674677|1346769710019
24189255811254|962072674680|1346536290958
2199023257206|274877907457|1288827210306
4398046512201|274877907457|1288892448889
6597069768211|274877907457|1288801713031
8796093022467|274877907457|1288916123000
19791209300326|274877907457|1312812104144
19791209300608|274877907457|1313028962623
19791209300787|274877907457|1316900588914
19791209301454|274877907457|1312129605503
24189255812580|274877907457|1322593702248
26388279066664|274877907457|1328833815900
26388279067534|274877907457|1326672488180
32985348833653|274877907457|1345145892383
17592186045693|274877907529|1343631662836
26388279067534|274877907542|1338481577526
1274|481036337752|1336611455313
1490|481036337752|1306009048759
15393162789274|481036337752|1309819459395
17592186044425|481036337752|1342484748254
17592186045693|481036337752|1343076759502
26388279067534|481036337752|1329233287573
15393162789274|412316861035|1326004309340
1274|412316861046|1307102956427
1490|412316861046|1324374666946
15393162789274|412316861046|1325989605472
15393162790400|412316861046|1314892651009
17592186044425|412316861046|1322955843250
17592186045693|412316861046|1339733838623
17592186044425|755914244750|1342747984081
26388279067534|755914244750|1339594392785
1274|274877907616|1336581961202
1490|274877907616|1326701601110
2199023256437|274877907616|1309460563890
15393162789274|274877907616|1324151790710
15393162790400|274877907616|1345998771601
28587302322537|274877907616|1336822429136
15393162790400|274877907628|1346051749501
2199023256437|274877907648|1294763028200
17592186044425|962072675032|1343289622937
15393162789274|962072675036|1342532187963
17592186044425|962072675036|1341515649530
15393162789274|962072675052|1342312116128
17592186044425|962072675052|1341635578267
15393162789274|962072675053|1342250982162
17592186044425|962072675053|1341794548728
1490|549755814644|1312158918800
2199023256437|549755814644|1316997410782
26388279067534|549755814644|1345597704592
1490|343597384457|1299125251391
2199023256437|343597384457|1299779753362
15393162789274|343597384457|1328883799874
15393162790400|343597384457|1316195067842
17592186045693|343597384457|1327780856148
26388279067534|343597384457|1334405923715
28587302322537|343597384457|1343061795515
1490|618475291414|1310627442040
2199023256437|618475291414|1339187199553
15393162790400|618475291414|1314728227113
1274|274877907757|1316355094112
1490|274877907757|1332722334183
2199023256437|274877907757|1303165221341
17592186044425|274877907757|1324956456412
17592186045693|274877907757|1322058217865
26388279067534|274877907757|1347377474333
1490|755914244919|1327558601638
15393162790400|755914244919|1337442997365
17592186044425|755914244919|1345339943025
17592186044425|343597384525|1317208603392
2199023256437|274877907859|1294917779431
19791209300852|1030792151992|1347432419482
19791209300852|412316861386|1343634038242
19791209300852|962072675275|1341088403675
19791209300852|962072675423|1345127737779
19791209300852|962072675440|1345068833320
19791209300852|343597384835|1326539309365
459|893353198754|1343916884885
24189255811566|618475291820|1342043412907
21990232556528|618475291822|1337253818959
4398046512267|618475291829|1345021785430
459|824633722048|1347360124792
4398046511596|824633722048|1341021415763
19791209301252|824633722048|1339470970942
4398046511667|962072675522|1342042550518
4398046511667|962072675531|1342058364424
4398046511596|755914245341|1337945445101
19791209301252|755914245341|1333250274065
21990232556528|755914245341|1335377759093
4398046511596|824633722106|1342422669626
4398046512267|755914245384|1334963487095
21990232556528|755914245384|1340867045235
459|618475291924|1317331533126
459|618475291926|1317243647157
4398046511667|962072675621|1346260331725
4398046511667|962072675625|1346640528296
4398046512267|962072675625|1345788828054
24189255811566|962072675625|1338420463628
459|755914245424|1342481293005
459|755914245429|1342512322895
4398046511596|755914245429|1326845004914
459|755914245430|1342579445555
4398046511596|755914245430|1326836342490
4398046512267|755914245430|1341054021200
21990232556528|755914245430|1321524537762
4398046511596|687194768715|1347004759864
4398046511667|687194768716|1322653682255
987|824633722206|1335999929781
15393162789093|824633722206|1332221705362
26388279067669|824633722206|1334239323016
987|962072675729|1343514915754
987|755914245530|1331751239117
8796093023000|962072675863|1340324815189
998|755914245751|1343929943594
609|962072675985|1342763327316
1269|962072675985|1339377974311
15393162789093|962072675985|1345767829447
15393162790014|962072675985|1342441345051
17592186044897|962072675985|1346389814479
17592186045382|962072675985|1342606571734
24189255812426|962072675985|1339624235068
24189255812580|962072675985|1347355388440
15393162789174|824633722514|1343496488759
15393162789093|962072675997|1338353938936
15393162789174|962072675997|1340227296943
17592186045382|962072675997|1342565006293
24189255812426|962072675997|1338435611481
24189255812733|962072676058|1341509240566
1269|962072676060|1344496605316
6597069767242|549755815750|1308791819231
976|412316862297|1294847110348
1269|412316862297|1294901050690
6597069767242|412316862297|1294902221050
10995116278234|412316862297|1294907893272
10995116278353|412316862297|1294916754070
13194139533535|412316862297|1296916856878
13194139533653|412316862297|1296846327699
15393162789604|412316862297|1303964054815
17592186044551|412316862297|1308333359453
17592186045074|412316862297|1308497888131
17592186045865|412316862297|1307310533573
19791209300771|412316862297|1313704270901
21990232555611|412316862297|1321121404861
21990232556528|412316862297|1319123939731
21990232556650|412316862297|1321165577622
30786325578932|412316862297|1340240479843
30786325579247|412316862297|1339733677955
32985348833378|412316862297|1346679169917
32985348833438|412316862297|1343322991478
976|618475292520|1311268611351
1269|618475292520|1311306738515
6597069767242|618475292520|1311438746522
10995116278234|618475292520|1311469055058
10995116278353|618475292520|1311237894575
13194139533535|618475292520|1311553729745
13194139533653|618475292520|1311351103940
15393162789604|618475292520|1311551290276
17592186044551|618475292520|1311322773349
17592186045074|618475292520|1311543945531
17592186045865|618475292520|1311175618931
19791209300771|618475292520|1313682144039
21990232555611|618475292520|1321105340475
21990232556528|618475292520|1318942357838
21990232556650|618475292520|1321248604698
30786325578932|618475292520|1340095778050
30786325579247|618475292520|1339553099057
32985348833378|618475292520|1346884854954
32985348833438|618475292520|1343601779948
976|687194769281|1316714743014
32985348833378|481036339111|1346973338650
30786325579247|1030792153017|1343605679198
15393162789093|412316862470|1305487738880
15393162789787|481036339350|1304464607193
290|618475292843|1311899564011
1050|618475292843|1312229051928
1131|618475292843|1311806505627
1160|618475292843|1311996927212
2199023256744|618475292843|1312083385856
4398046512267|618475292843|1312083089116
6597069766846|618475292843|1311843413601
6597069766850|618475292843|1311868788650
6597069767067|618475292843|1311975357288
6597069767242|618475292843|1311934310754
6597069767572|618475292843|1311805631625
8796093023133|618475292843|1312268574435
8796093023897|618475292843|1311876068895
13194139534578|618475292843|1312111393807
13194139534853|618475292843|1312125176729
13194139534982|618475292843|1311872426777
15393162789787|618475292843|1312106748723
17592186045168|618475292843|1311886224455
17592186045408|618475292843|1312238513817
17592186045551|618475292843|1311797977629
19791209301454|618475292843|1313501000456
19791209301471|618475292843|1315538279870
19791209301519|618475292843|1311852590343
19791209301554|618475292843|1313135337623
21990232555850|618475292843|1317117849395
21990232556497|618475292843|1317653893955
24189255811116|618475292843|1326024496656
24189255812295|618475292843|1325303437911
26388279067047|618475292843|1329205271368
26388279068113|618475292843|1331087801814
28587302322548|618475292843|1337588295562
28587302323193|618475292843|1336723053495
28587302323441|618475292843|1332618479220
28587302323855|618475292843|1336011356604
30786325578056|618475292843|1341185789894
30786325578932|618475292843|1339209803743
32985348833548|618475292843|1344602648800
32985348833673|618475292843|1341998120769
6597069767067|618475292889|1313502469873
1131|274877909312|1284620804335
21990232556497|343597386164|1317936146610
24189255811116|343597386164|1325931242635
24189255812295|343597386164|1324846670873
318|962072676840|1341736069324
2199023255981|962072676840|1341681052647
2199023255981|755914246810|1336118442362
2199023256077|755914246810|1322583176370
2199023256530|755914246810|1325529978179
2199023257239|755914246810|1346092569555
10995116278353|755914246810|1332418993153
17592186044862|755914246810|1334742982884
30786325578932|755914246810|1344414597249
30786325579091|755914246810|1344839433209
318|755914246852|1335368891901
8796093023907|755914246852|1345174124002
21990232556771|755914246852|1333799066166
30786325579091|755914246852|1346021265480
2199023255981|481036339919|1309148466980
2199023256077|481036339919|1336225739556
2199023256530|481036339919|1313265244488
2199023257239|481036339919|1336049429175
6597069766733|481036339919|1311700736454
8796093023907|481036339919|1343376803641
10995116278353|481036339919|1337125633198
21990232556771|481036339919|1334992565730
26388279067669|481036339919|1338089615814
30786325578932|481036339919|1343348426442
30786325579091|481036339919|1339914684444
32985348834682|481036339919|1346552436449
2199023256530|481036339920|1312952972169
21990232556771|687194770154|1342455417368
6597069766733|687194770158|1323784057433
2199023257239|962072677121|1345554378138
6597069766733|962072677121|1341328901995
8796093023907|962072677121|1346654535415
10995116278353|962072677121|1344409215187
26388279067669|962072677121|1342299686402
30786325579091|962072677121|1342980056982
2199023256530|549755816709|1322801005179
318|687194770218|1328336125076
2199023255981|687194770218|1336483684036
2199023256077|687194770218|1340005016839
2199023256086|687194770218|1331100228891
17592186044862|687194770218|1325483139344
21990232556771|687194770218|1337794439905
2199023256077|687194770220|1339541656045
2199023256077|687194770222|1339540457288
